Performance,Video_URL
0.3609413837,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-880340126836307
0.08756050022,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8796411607036992
1.060510226,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-879631723735807
1.536406007,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-879049300656635
0.476521886,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877975993416760
0.2965103244,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877662697022279
1.399076425,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877511836784655
0.4908932942,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877210454387561
0.7974520611,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877129693575192
1.414162785,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-876239523982490
0.6783549001,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-876121221160846
1.1843936,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-875485623676104
1.706428962,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874864704574925
1.588400372,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874747697073121
1.739660534,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874543520932484
0.9882385426,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874190910572544
0.3546065492,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874084244131796
0.4780181317,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-873560550525047
0.976167015,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-873317140849832
1.01935224,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-873043573965895
1.685661584,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-872760463806517
0.02554487713,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-872400620956045
1.639142897,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-872222594086011
1.296656494,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-872188860590219
0.39319541,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871981848375866
0.1706837293,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8715627171842855
0.6940548792,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871286287458461
1.494201519,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871185627435460
